snap,gas,star,total,halo,BH,r[kpc]
139,116340406.4,1973930.56044,907848300.751,6,250576.949725,144.389323459
225,113725289.179,2913284.62062,1185527184.11,35,250725.85941,184.944638794
275,147745033.108,3326761.21266,1618033358.67,40,250731.026623,203.81760023
640,554750512.695,11049748.2833,4294004390.4,36,250753.574461,280.114617334
974,399176864.808,20919852.5095,4738374490.93,32,250804.666316,310.902678498
1024,372829011.417,21946787.7081,4769255099.25,31,250840.035475,313.285069369
1269,210958060.069,23879075.8088,4852771615.74,24,253490.81576,319.488527511
1280,210578931.8,23835806.0336,4863241972.08,25,253583.107158,318.772984616
1408,197461488.586,23671047.508,4934473981.41,23,253857.052346,315.112473851
1740,282864692.102,24014304.4425,5069047107.43,20,254237.105009,268.236414916
2048,94112748.6873,27761697.1888,2047476069.4,47,256194.815576,179.140091021
2088,88862120.9238,27621995.8465,1985206065.64,48,256955.059063,183.939197382
2432,35971802.2805,27205359.6471,1423796622.18,63,257823.648231,270.850411973
2688,26642359.4815,26970481.0195,1324759131.46,65,258782.953765,319.617426751
2816,18840964.964,26895432.901,1267674564.93,70,259276.353529,339.266667245
2944,1.56372670326e+11,1.34005498281e+11,1.72532694504e+12,1,259442.947793,359.705731555
3072,0.0,22452677.9882,529707481.437,115,259442.947793,353.800173505
3195,0.0,20839416.7834,441291259.214,130,259442.947793,361.919070126
3200,0.0,20798855.5726,436800350.881,131,259442.947793,362.370544818
3328,0.0,19547836.8644,364852389.312,145,259442.947793,374.45048658
3456,0.0,18467950.5738,309732573.677,149,259442.947793,380.638334809
3584,0.0,17720796.8483,275078013.304,158,259442.947793,383.434454099
3606,0.0,17648875.6898,271996809.805,157,259442.947793,384.407382234
3712,0.0,17335633.0381,256976229.52,160,259442.947793,392.026897129
3840,0.0,17017007.674,236991308.301,170,259442.947793,414.661631941
3968,1.69230839461e+11,1.83605054266e+11,2.08632591288e+12,1,259442.947793,487.973028216
4096,1.67460004583e+11,1.88270265251e+11,2.10912325919e+12,1,259442.947793,555.641193702
